Identifiant;Statut;Motif du refus;Domaine;Activité;Commune;Rue;Type d'ouvrage;Code ouvrage;Num. DI;Ordre de travail;Programme;Créé le;Entreprise;Date Intervention;Intervenant;Observation;Durée Intervention;obs_clean;remplacement_fusible;remplacement_ampoule;remplacement_driver;remplacement_boite_derivation;remplacement_driver_et_connexions;pose_lanterne_provisoire;separation_phases_cablage;plateau_led_hs;reenclenchement_disjoncteur;reprise_raccordement;refection_connexions;resume_ia
44909739;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE LEON BLUM;Luminaire;E2928_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909737;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE FRANCOIS LE GUINER;Luminaire;E956_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909735;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE PARK BIHAN;Luminaire;E3092_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909733;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROND POINT GUTENBERG;Luminaire;E2860_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909731;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;BOULEVARD FLANDRES DUNKERQUE1940;Luminaire;E1116_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909729;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DU MORBIHAN;Luminaire;E1108_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909727;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROND POINT GUTENBERG;Luminaire;E1106_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909725;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROND POINT GUTENBERG;Luminaire;E2805_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909723;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;HENT KAMM;Luminaire;E232_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909721;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE SAINT ALOR;Luminaire;E231_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909719;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE SAINT ALOR;Luminaire;E230_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909717;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE SAINT ALOR;Luminaire;E229_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909715;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE AUGUSTE PERRET;Luminaire;E252_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909713;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE AUGUSTE PERRET;Luminaire;E256_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909711;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE AUGUSTE PERRET;Luminaire;E249_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909709;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE AUGUSTE PERRET;Luminaire;E258_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909707;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE DE KERAMBELLEC;Luminaire;E237_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909705;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE JULES HARDOUIN MANSART;Luminaire;E242_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909703;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE JULES HARDOUIN MANSART;Luminaire;E241_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909701;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE GEORGES BERNANOS;Luminaire;E327_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909699;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE LE CORBUSIER;Luminaire;E265_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909697;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE DE KEROMNES;Luminaire;E379_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909695;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE SAINT ALOR;Luminaire;E376_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909693;A valider;;Eclairage public;Curatif Armoire;QUIMPER;RUE LEO LAGRANGE;Armoire;120;;;;21/01/2026;CITEOS QUIMPER;2026-01-21;CITEOS_EQUIPE 2;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909691;A valider;;Eclairage public;Curatif Armoire;QUIMPER;RUE SAINT ALOR;Armoire;167;;;;21/01/2026;CITEOS QUIMPER;2026-01-21;CITEOS_EQUIPE 2;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909689;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE LEON BLUM;Luminaire;E3363;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909687;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DU BRADEN;Luminaire;E1441_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909685;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;BOULEVARD DE CREAC'H GWEN;Luminaire;E2261_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909683;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE FELIX LE DANTEC;Luminaire;E2969_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909681;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ALLEE DE KERNENEZ;Luminaire;E2282_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909679;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ALLEE DE KERNENEZ;Luminaire;E2281_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909677;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE PRESIDENT SADATE;Luminaire;E2289_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909675;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DE LA PLAGE DES GUEUX;Luminaire;E3140_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909673;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DE LA PLAGE DES GUEUX;Luminaire;E1667_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909671;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DE KERADENNEC;Luminaire;E1537_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909669;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE BENODET;Luminaire;E1600_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909667;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE BENODET;Luminaire;E3128_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909665;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE BENODET;Luminaire;E1623_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909663;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DE TI DOUAR;Luminaire;E676_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909661;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DE TI DOUAR;Luminaire;E672_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909659;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DE TY BOS;Luminaire;E667_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909657;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE GEORGES POMPIDOU;Luminaire;E1771_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909655;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DE TY BOS;Luminaire;E660_1;;485.0;;20/01/2026;CITEOS QUIMPER;2026-01-20;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909653;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ALLEE VINCENT AURIOL;Luminaire;E3126_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909651;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE HENRI QUEFFELEC;Luminaire;E3235_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909649;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE MARCEL PAUL;Luminaire;E2826_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909647;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ALLEE GEORGES LACOMBE;Luminaire;E3523;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909645;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ALLEE GEORGES LACOMBE;Luminaire;E3518;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909643;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ALLEE ABBE GREGOIRE;Luminaire;E2841_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909641;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ALLEE ABBE GREGOIRE;Luminaire;E7_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909639;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE ROSPORDEN;Luminaire;E4_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909637;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE ROSPORDEN;Luminaire;E1_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909635;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE ROSPORDEN;Luminaire;E59_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909633;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE ALBERT STEPHAN;Luminaire;E71_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909631;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE ROSPORDEN;Luminaire;E2735_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909629;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE ROSPORDEN;Luminaire;E2739_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909627;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE ROSPORDEN;Luminaire;E2738_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909625;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE ROSPORDEN;Luminaire;E2737_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909623;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE ROSPORDEN;Luminaire;E2734_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909621;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROUTE DE ROSPORDEN;Luminaire;E2733_1;;485.0;;19/01/2026;CITEOS QUIMPER;2026-01-19;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909619;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE LA PAIX;Luminaire;E2190_1;12799.0;;;19/01/2026;CITEOS QUIMPER;2026-01-19;CITEOS_EQUIPE 2;Remplacement driver fonctionnement ok;1:15;remplacement driver fonctionnement ok;non;non;oui;non;oui;non;non;non;non;non;non;remplacement driver, remplacement driver et connexions
44909617;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;IMPASSE MOLIERE;Luminaire;E2121_1;12805.0;;;19/01/2026;CITEOS QUIMPER;2026-01-19;CITEOS_EQUIPE 2;Remplacement fusible 2A;0:30;remplacement fusible 2a;oui;non;non;non;non;non;non;non;non;non;non;remplacement fusible
44909615;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE LUDUDU;Luminaire;P897_1;12793.0;;;19/01/2026;CITEOS QUIMPER;2026-01-19;CITEOS_EQUIPE 2;Remplacement porte fusible et remise en place du classe 2;1:00;remplacement porte fusible et remise en place du classe 2;oui;non;non;non;non;non;non;non;non;non;non;remplacement fusible
44909613;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DU COSQUER;Luminaire;P2378_1;12811.0;;;19/01/2026;CITEOS QUIMPER;2026-01-19;CITEOS_EQUIPE 2;Remplacement driver 110W;1:00;remplacement driver 110w;non;non;oui;non;oui;non;non;non;non;non;non;remplacement driver, remplacement driver et connexions
44909611;Validé;;Eclairage public;Curatif Armoire;QUIMPER;RUE DU LAVOIR;Armoire;438;12807.0;;;19/01/2026;CITEOS QUIMPER;2026-01-19;CITEOS_EQUIPE 2;Réenclenchement disjoncteur général essais de fonctionnement;0:45;réenclenchement disjoncteur général essais de fonctionnement;non;non;non;non;non;non;non;non;oui;non;non;reenclenchement disjoncteur
44909609;A valider;;Eclairage public;Curatif Armoire;QUIMPER;RUE LEO LAGRANGE;Armoire;120;12809.0;;;19/01/2026;CITEOS QUIMPER;2026-01-19;CITEOS_EQUIPE 2;Remplacement fusible 25A départ 2 et remise en place d?un boîtier classe 2;1:00;remplacement fusible 25a départ 2 et remise en place d?un boîtier classe 2;oui;non;non;non;non;non;non;non;non;non;non;remplacement fusible
44909607;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;;Luminaire;X:169618.91113793 Y: 6788204.9968088;;;;16/01/2026;CITEOS QUIMPER;2026-01-16;CITEOS_EQUIPE 1;Boite de dérivation changée;1:30;boite de dérivation changée;non;non;non;oui;non;non;non;non;non;non;non;remplacement boite derivation
44909605;Validé;;Eclairage public;Curatif Armoire;QUIMPER;RUE MARECHAL FOCH;Armoire;94;12795.0;;;14/01/2026;CITEOS QUIMPER;2026-01-13;CITEOS_EQUIPE 2;Séparation de la phase ep et de la phase 3 enedis. Remplacement du fusible du départ ep .;;séparation de la phase ep et de la phase 3 enedis. remplacement du fusible du départ ep .;oui;non;non;non;non;non;oui;non;non;non;non;remplacement fusible, separation phases cablage
44909603;Validé;;Eclairage public;Curatif Armoire;QUIMPER;RUE MICHELET;Armoire;112;12791.0;;;13/01/2026;CITEOS QUIMPER;2026-01-13;CITEOS_EQUIPE 2;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909601;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE PARMENTIER;Luminaire;E1885_1;12775.0;;;08/01/2026;CITEOS QUIMPER;2026-01-08;CITEOS_EQUIPE 2;Remplacement driver et réfection des connexions sur câble d?alimentation;2:00;remplacement driver et réfection des connexions sur câble d?alimentation;non;non;oui;non;oui;non;oui;non;non;non;non;remplacement driver, remplacement driver et connexions, separation phases cablage
44909599;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE L'ILE D'HOUAT;Luminaire;E1206;12781.0;;;06/01/2026;CITEOS QUIMPER;2026-01-06;CITEOS_EQUIPE 2;Reprise raccordement câble alimentation au niveau deE1207-1 et remplacement ampoule 70W;1:30;reprise raccordement câble alimentation au niveau dee1207-1 et remplacement ampoule 70w;non;oui;non;non;non;non;oui;non;non;oui;non;remplacement ampoule, separation phases cablage, reprise raccordement
44909597;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE WALLIS ET FUTUNA;Luminaire;E1414_1;12789.0;;;06/01/2026;CITEOS QUIMPER;2026-01-06;CITEOS_EQUIPE 2;Remplacement porte fusible et ampoule 70W;1:00;remplacement porte fusible et ampoule 70w;oui;oui;non;non;non;non;non;non;non;non;non;remplacement fusible, remplacement ampoule
44909595;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;BOULEVARD DUPLEIX;Luminaire;C1359;12715.0;;;06/01/2026;CITEOS QUIMPER;2026-01-06;CITEOS_EQUIPE 2;Remplacement ampoule;0:45;remplacement ampoule;non;oui;non;non;non;non;non;non;non;non;non;remplacement ampoule
44909593;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;;Luminaire;X:170397.38709634 Y: 6789282.1449138;;;;05/01/2026;CITEOS QUIMPER;2026-01-05;CITEOS_EQUIPE 2;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909591;A valider;;Eclairage public;Curatif Armoire;QUIMPER;;Armoire;X:170375.28558711 Y: 6789220.2055711;;;;05/01/2026;CITEOS QUIMPER;2026-01-05;CITEOS_EQUIPE 2;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909589;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE MICHELET;Luminaire;E2503_1;12787.0;;;05/01/2026;CITEOS QUIMPER;2026-01-05;CITEOS_EQUIPE 2;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909587;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE LOST AL LANN;Luminaire;E470_1;12785.0;;;05/01/2026;CITEOS QUIMPER;2026-01-05;CITEOS_EQUIPE 2;Plateau Led hs, Prévoir remplacement du luminaire;;plateau led hs, prévoir remplacement du luminaire;non;non;non;non;non;non;non;oui;non;non;non;plateau led hs
44909585;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;AVENUE DES GIRONDINS;Luminaire;P998_1;12747.0;;;02/01/2026;CITEOS QUIMPER;2026-01-02;CITEOS_EQUIPE 1;Pose lanterne provisoire;1:30;pose lanterne provisoire;non;non;non;non;non;oui;non;non;non;non;non;pose lanterne provisoire
44909583;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;ALLEE JEAN BAPTISTE LOUVET;Luminaire;P1070_1;12741.0;;;02/01/2026;CITEOS QUIMPER;2026-01-02;CITEOS_EQUIPE 1;Pose lanterne provisoire;1:00;pose lanterne provisoire;non;non;non;non;non;oui;non;non;non;non;non;pose lanterne provisoire
44909581;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DU FRUGY;Luminaire;E2100_1;12761.0;;;02/01/2026;CITEOS QUIMPER;2026-01-02;CITEOS_EQUIPE 1;;1:00;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909579;Validé;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DES RESEDAS;Luminaire;E1949_1;12753.0;;;02/01/2026;CITEOS QUIMPER;2026-01-02;CITEOS_EQUIPE 1;Dépose et pose;1:30;dépose et pose;non;non;non;non;non;oui;non;non;non;non;non;pose lanterne provisoire
44909577;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;AVENUE DE TI PONT;Luminaire;K2015;12757.0;;;31/12/2025;CITEOS QUIMPER;2025-12-31;CITEOS_EQUIPE 1;;1:30;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909575;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE LA TOUR D'AUVERGNE;Luminaire;E1780_1;12769.0;;;31/12/2025;CITEOS QUIMPER;2025-12-31;CITEOS_EQUIPE 1;;1:00;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909573;A valider;;Eclairage public;Curatif Armoire;QUIMPER;RUE DE L'ILE D'HOUAT;Armoire;156;12767.0;;;31/12/2025;CITEOS QUIMPER;2025-12-31;CITEOS_EQUIPE 2;Travaux en cours - réalimentation par de l aérien.;;travaux en cours - réalimentation par de l aérien.;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909571;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE AUGUSTE PERRET;Luminaire;E255_1;12765.0;;;31/12/2025;CITEOS QUIMPER;2025-12-31;CITEOS_EQUIPE 1;;0:45;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909569;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;AVENUE DE TI PONT;Luminaire;K2096;;;;31/12/2025;CITEOS QUIMPER;2025-12-31;CITEOS_EQUIPE 2;remplacement de la lampe;;remplacement de la lampe;non;oui;non;non;non;non;non;non;non;non;non;remplacement ampoule
44909567;Validé;;Eclairage public;Curatif Armoire;QUIMPER;RUE LE DEAN;Armoire;66;12771.0;;;30/12/2025;CITEOS QUIMPER;2025-12-30;CITEOS_EQUIPE 1;Raz radiolite;1:00;raz radiolite;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909565;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;ROND POINT DE LUDUGRIS;Luminaire;P936_5;12773.0;;;30/12/2025;CITEOS QUIMPER;2025-12-30;CITEOS_EQUIPE 1;1/8 en panne;0:20;1/8 en panne;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909563;Refusé;Travaux demandés lors de la demande d'intervention non effectués;Eclairage public;Curatif Point Lumineux;QUIMPER;CHEMIN DE L'EGLANTINE;Luminaire;K948_1;12749.0;;;24/12/2025;CITEOS QUIMPER;2025-12-24;CITEOS_EQUIPE 2;Plus alimenté depuis la tempête ciaran. Torsadé à tirer depuis l?ouvrage précédent;0:30;plus alimenté depuis la tempête ciaran. torsadé à tirer depuis l?ouvrage précédent;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909561;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE LOUISE DE BETTIGNIES;Luminaire;K807_1;12737.0;;;24/12/2025;CITEOS QUIMPER;2025-12-24;CITEOS_EQUIPE 2;Remplacement ampoule 150W réfection des connexions câble alimentation;1:00;remplacement ampoule 150w réfection des connexions câble alimentation;non;oui;non;non;non;non;oui;non;non;non;non;remplacement ampoule, separation phases cablage
44909559;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;AVENUE DE TI PONT;Luminaire;K2098;12739.0;;;24/12/2025;CITEOS QUIMPER;2025-12-24;CITEOS_EQUIPE 2;Remplacement ampoule 70W;0:30;remplacement ampoule 70w;non;oui;non;non;non;non;non;non;non;non;non;remplacement ampoule
44909557;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;;Luminaire;X:170637.06776673 Y: 6792313.6149371;;;;24/12/2025;CITEOS QUIMPER;2025-12-24;CITEOS_EQUIPE 2;Changement Ampoule 70 watt;;changement ampoule 70 watt;non;oui;non;non;non;non;non;non;non;non;non;remplacement ampoule
44909555;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DES RESEDAS;Luminaire;E1951_1;12711.0;;;24/12/2025;CITEOS QUIMPER;2025-12-24;CITEOS_EQUIPE 2;Réfection connexions driver;1:00;réfection connexions driver;non;non;oui;non;oui;non;non;non;non;non;non;remplacement driver, remplacement driver et connexions
44909553;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DU PARC;Luminaire;C364_1;12743.0;;;24/12/2025;CITEOS QUIMPER;2025-12-24;CITEOS_EQUIPE 2;Remplacement fusible 4A;0:30;remplacement fusible 4a;oui;non;non;non;non;non;non;non;non;non;non;remplacement fusible
