Identifiant;Statut;Motif du refus;Domaine;Activité;Commune;Rue;Type d'ouvrage;Code ouvrage;Num. DI;Ordre de travail;Programme;Créé le;Entreprise;Date Intervention;Intervenant;Observation;Durée Intervention;obs_clean;remplacement_fusible;remplacement_ampoule;remplacement_driver;remplacement_boite_derivation;remplacement_driver_et_connexions;pose_lanterne_provisoire;separation_phases_cablage;plateau_led_hs;reenclenchement_disjoncteur;reprise_raccordement;refection_connexions;resume_ia
44909323;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;AVENUE DE BECHARLES;Luminaire;K2072;;480.0;;19/11/2025;CITEOS QUIMPER;2025-11-19;CITEOS_EQUIPE 1;Luminaires et crosse double déposés suite à  un sinistre. Prévoir leurs remplacements .;;luminaires et crosse double déposés suite à  un sinistre. prévoir leurs remplacements .;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909321;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;AVENUE DE BECHARLES;Luminaire;K2072_2;;480.0;;19/11/2025;CITEOS QUIMPER;2025-11-19;CITEOS_EQUIPE 1;Luminaires et crosse double déposés suite à  un sinistre. Prévoir leurs remplacements .;;luminaires et crosse double déposés suite à  un sinistre. prévoir leurs remplacements .;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909319;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;AVENUE DE BECHARLES;Luminaire;K1757_1;;480.0;;19/11/2025;CITEOS QUIMPER;2025-11-19;CITEOS_EQUIPE 1;Plus de luminaire sur le mât. Prévoir pose lanterne.;;plus de luminaire sur le mât. prévoir pose lanterne.;non;non;non;non;non;oui;non;non;non;non;non;pose lanterne provisoire
44909317;Validé;;Eclairage public;Curatif Point Lumineux;QUIMPER;ALLEE DE KERMOGUER;Luminaire;K409_1;;480.0;;19/11/2025;CITEOS QUIMPER;2025-11-19;CITEOS_EQUIPE 1;Cône jaune à  la place du mât. Il faudra reposer 1 mât et une lanterne.;;cône jaune à  la place du mât. il faudra reposer 1 mât et une lanterne.;non;non;non;non;non;oui;non;non;non;non;non;pose lanterne provisoire
44909315;Validé;;Eclairage public;Curatif Point Lumineux;QUIMPER;CHEMIN DE L'EGLANTINE;Luminaire;K948_1;;480.0;;19/11/2025;CITEOS QUIMPER;2025-11-19;CITEOS_EQUIPE 1;Plus d'alimentation réseau depuis la tempête. Il faudra retirer une portée de torsadé pour realimenter le point lumineux.;;plus d'alimentation réseau depuis la tempête. il faudra retirer une portée de torsadé pour realimenter le point lumineux.;non;non;non;non;non;non;oui;non;non;non;non;separation phases cablage
44909313;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE KEROMNES;Luminaire;E379_1;12647.0;;;19/11/2025;CITEOS QUIMPER;2025-11-19;CITEOS_EQUIPE 1;Luminaire leds axia 2.2 HS .A remplacer.;;luminaire leds axia 2.2 hs .a remplacer.;non;non;non;non;non;non;non;oui;non;non;non;plateau led hs
44909311;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;PLACE DE LA RESISTANCE ET DU GENERAL DE GAULLE;Luminaire;C422_2;12651.0;;;19/11/2025;CITEOS QUIMPER;2025-11-19;CITEOS_EQUIPE 1;Ras Vérification de bon fonctionnement ok.L'ensemble des points lumineux fonctionnent.Essais okk;1:00;ras vérification de bon fonctionnement ok.l'ensemble des points lumineux fonctionnent.essais okk;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909309;A valider;;Eclairage public;Curatif Armoire;QUIMPER;RUE COMMANDANT AVRIL;Armoire;111;;;;19/11/2025;CITEOS QUIMPER;2025-11-19;CITEOS_EQUIPE 1;Changement de contacteur 40A mono .En effet 1 des 2 contacteurs vibrait anormalement et n'aurait pas tardé  à  lâcher. Essais ok.;1:00;changement de contacteur 40a mono .en effet 1 des 2 contacteurs vibrait anormalement et n'aurait pas tardé  à  lâcher. essais ok.;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909307;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE JEAN-BAPTISTE BOUSQUET;Luminaire;E2522_1;12617.0;;;19/11/2025;CITEOS QUIMPER;2025-11-19;CITEOS_EQUIPE 1;Changement de driver 75w 0,2-0,7 A ampdim .Essais ok.;1:00;changement de driver 75w 0,2-0,7 a ampdim .essais ok.;non;non;oui;non;oui;non;non;non;non;non;non;remplacement driver, remplacement driver et connexions
44909305;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE JEAN-BAPTISTE BOUSQUET;Luminaire;E2521_1;12617.0;;;19/11/2025;CITEOS QUIMPER;2025-11-19;CITEOS_EQUIPE 1;Ras le point lumineux fonctionne.;0:30;ras le point lumineux fonctionne.;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
